gene,beta,SE,HR,HR_lower_95,HR_upper_95,p_value,n_events,q_value
PTEN,-0.2691173062587389,0.12792331257555614,0.7640536221191281,0.5946142567335323,0.981775883881928,0.03540119004662402,146,0.3540119004662402
TP53,-0.058714096747786944,0.14639472326434233,0.9429763306206984,0.7077654808682331,1.2563545187596152,0.68837077464804,146,0.8604634683100499
EGFR,-0.5728724180428902,0.5897175055090359,0.5639033440080288,0.1775154751553081,1.7913197770798899,0.3313315436266314,146,0.8604634683100499
MDM2,0.06148320557690138,0.1429174967263291,1.0634126369770758,0.8036190497840021,1.4071921724435084,0.6670496607765295,146,0.8604634683100499
MYC,0.03228731218121306,0.07716882409796602,1.032814202782067,0.8878426001537295,1.2014575300663173,0.6756558595209585,146,0.8604634683100499
KRAS,-0.08000723913177195,0.1484473452117946,0.9231096638499514,0.6900724483130989,1.2348434625614009,0.5899141857815757,146,0.8604634683100499
CDKN2A,-0.06981687680443636,0.061033100963010574,0.9325645784762235,0.8274227276647261,1.051066962449854,0.2526575501196955,146,0.8604634683100499
RB1,0.0620469054406068,0.11372688279661697,1.064012251521043,0.8514166336861431,1.3296922171762648,0.5853559284039349,146,0.8604634683100499
JAK2,-0.028505522430871382,0.10477507624240866,0.9718969268977236,0.7914719032916128,1.1934518870282793,0.7855728383397338,146,0.8728587092663709
BRCA1,0.016697351203710662,0.11551990028639939,1.0168375310964595,0.8108132741605895,1.2752116888031577,0.8850733561944533,146,0.8850733561944533
